Case,Model,RÂ²,MSE
1,RF,0.974225190599668,5.276557770798195e-05
1,GBDT,0.22235035021082916,0.0015919858955390294
1,Optimized_GBDT,0.977045280711867,4.699235620137264e-05
1,MLP,0.7760793751751998,0.0004584049855073088
2,RF,0.9870711396690476,2.646765583685459e-05
2,GBDT,0.1490902259050949,0.0017419622822470854
2,Optimized_GBDT,0.9854821939294657,2.972050782087734e-05
2,MLP,0.4833582378982676,0.0010576567462421845
3,RF,0.9924345336494304,1.548784304930547e-05
3,GBDT,0.15348879839916663,0.0017329576290938736
3,Optimized_GBDT,0.9937979184823674,1.2696753996778792e-05
3,MLP,0.13803076014954918,0.0017646029579032746
4,RF,0.9932318746531901,1.385554548154528e-05
4,GBDT,0.1521241871401008,0.001735751228856846
4,Optimized_GBDT,0.9869011735996683,2.6815606337758746e-05
4,MLP,0.19265262282321516,0.0016527823777896964
